2026/03/21 09:25:15 Загружено 2 подписчиков
2026/03/21 09:25:16 Запуск анализа рынка (1h Stoch RSI)...
2026/03/21 09:25:18 0GUSDT Stoch RSI(1h,7)=81.57
2026/03/21 09:25:19 1000000BABYDOGEUSDT Stoch RSI(1h,7)=73.50
2026/03/21 09:25:20 1000000CHEEMSUSDT Stoch RSI(1h,7)=60.35
2026/03/21 09:25:21 1000000MOGUSDT Stoch RSI(1h,7)=75.99
2026/03/21 09:25:21 10000QUBICUSDT Stoch RSI(1h,7)=68.49
2026/03/21 09:25:22 10000SATSUSDT Stoch RSI(1h,7)=84.85
2026/03/21 09:25:22 1000BONKPERP Stoch RSI(1h,7)=58.86
2026/03/21 09:25:23 1000BONKUSDT Stoch RSI(1h,7)=38.35
2026/03/21 09:25:23 1000BTTUSDT Stoch RSI(1h,7)=39.80
2026/03/21 09:25:24 1000CATUSDT Stoch RSI(1h,7)=80.25
2026/03/21 09:25:24 1000FLOKIUSDT Stoch RSI(1h,7)=35.88
2026/03/21 09:25:25 1000LUNCUSDT Stoch RSI(1h,7)=48.15
2026/03/21 09:25:25 1000NEIROCTOPERP Stoch RSI(1h,7)=52.78
2026/03/21 09:25:26 1000NEIROCTOUSDT Stoch RSI(1h,7)=22.63
2026/03/21 09:25:27 1000PEPEPERP Stoch RSI(1h,7)=100.00
2026/03/21 09:25:27 1000PEPEUSDT Stoch RSI(1h,7)=52.22
2026/03/21 09:25:28 1000RATSUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:25:29 1000TAGUSDT Stoch RSI(1h,7)=0.00
2026/03/21 09:25:29 1000TOSHIUSDT Stoch RSI(1h,7)=85.62
2026/03/21 09:25:30 1000TURBOUSDT Stoch RSI(1h,7)=75.94
2026/03/21 09:25:30 1000XECUSDT Stoch RSI(1h,7)=76.41
2026/03/21 09:25:31 1INCHUSDT Stoch RSI(1h,7)=64.10
2026/03/21 09:25:31 2ZUSDT Stoch RSI(1h,7)=80.89
2026/03/21 09:25:31 4USDT Stoch RSI(1h,7)=13.47
2026/03/21 09:25:32 AAVEPERP Stoch RSI(1h,7)=81.29
2026/03/21 09:25:32 AAVEUSDT Stoch RSI(1h,7)=55.55
2026/03/21 09:25:33 ACEUSDT Stoch RSI(1h,7)=7.30
2026/03/21 09:25:33 ACHUSDT Stoch RSI(1h,7)=61.10
2026/03/21 09:25:34 ACTUSDT Stoch RSI(1h,7)=60.52
2026/03/21 09:25:35 ACUUSDT Stoch RSI(1h,7)=58.12
2026/03/21 09:25:35 ACXUSDT Stoch RSI(1h,7)=0.00
2026/03/21 09:25:36 ADAUSDT Stoch RSI(1h,7)=68.08
2026/03/21 09:25:36 AERGOUSDT Stoch RSI(1h,7)=82.69
2026/03/21 09:25:37 AEROUSDT Stoch RSI(1h,7)=73.33
2026/03/21 09:25:37 AEVOPERP Stoch RSI(1h,7)=95.09
2026/03/21 09:25:38 AEVOUSDT Stoch RSI(1h,7)=88.83
2026/03/21 09:25:38 AGIUSDT Stoch RSI(1h,7)=51.13
2026/03/21 09:25:39 AGLDUSDT Stoch RSI(1h,7)=2.43
2026/03/21 09:25:39 AIOUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:25:40 AIOZUSDT Stoch RSI(1h,7)=84.19
2026/03/21 09:25:40 AIXBTUSDT Stoch RSI(1h,7)=2.91
2026/03/21 09:25:41 AKEUSDT Stoch RSI(1h,7)=6.37
2026/03/21 09:25:41 AKTUSDT Stoch RSI(1h,7)=0.00
2026/03/21 09:25:42 ALCHUSDT Stoch RSI(1h,7)=11.65
2026/03/21 09:25:42 ALGOUSDT Stoch RSI(1h,7)=52.94
2026/03/21 09:25:43 ALICEUSDT Stoch RSI(1h,7)=21.50
2026/03/21 09:25:43 ALLOUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:25:44 ALPINEUSDT Stoch RSI(1h,7)=81.68
2026/03/21 09:25:44 ALTUSDT Stoch RSI(1h,7)=90.65
2026/03/21 09:25:45 ANIMEUSDT Stoch RSI(1h,7)=81.65
2026/03/21 09:25:45 ANKRUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:25:46 APEUSDT Stoch RSI(1h,7)=51.18
2026/03/21 09:25:47 APEXUSDT Stoch RSI(1h,7)=82.82
2026/03/21 09:25:47 API3USDT Stoch RSI(1h,7)=86.77
2026/03/21 09:25:48 APRUSDT Stoch RSI(1h,7)=19.76
